country,year,lifeExp,pop
Afghanistan,1952,NA,8425333
Afghanistan,1957,NA,9240934
Afghanistan,1962,NA,10267083
Afghanistan,1967,NA,11537966
Afghanistan,1972,NA,13079460
Afghanistan,1977,NA,14880372
Afghanistan,1982,NA,12881816
Afghanistan,1987,NA,13867957
Afghanistan,1992,NA,16317921
Afghanistan,1997,NA,22227415
Afghanistan,2002,NA,25268405
Afghanistan,2007,NA,31889923
Albania,1952,NA,1282697
Albania,1957,NA,1476505
Albania,1962,NA,1728137
Albania,1967,NA,1984060
Albania,1972,NA,2263554
Albania,1977,NA,2509048
Albania,1982,NA,2780097
Albania,1987,NA,3075321
Albania,1992,NA,3326498
Albania,1997,NA,3428038
Albania,2002,NA,3508512
Albania,2007,NA,3600523
Algeria,1952,NA,9279525
Algeria,1957,NA,10270856
Algeria,1962,NA,11000948
Algeria,1967,NA,12760499
Algeria,1972,NA,14760787
Algeria,1977,NA,17152804
Algeria,1982,NA,20033753
Algeria,1987,NA,23254956
Algeria,1992,NA,26298373
Algeria,1997,NA,29072015
Algeria,2002,NA,31287142
Algeria,2007,NA,33333216
Angola,1952,NA,4232095
Angola,1957,NA,4561361
Angola,1962,NA,4826015
Angola,1967,NA,5247469
Angola,1972,NA,5894858
Angola,1977,NA,6162675
Angola,1982,NA,7016384
Angola,1987,NA,7874230
Angola,1992,NA,8735988
Angola,1997,NA,9875024
Angola,2002,NA,10866106
Angola,2007,NA,12420476
Argentina,1952,NA,17876956
Argentina,1957,NA,19610538
Argentina,1962,NA,21283783
Argentina,1967,NA,22934225
Argentina,1972,NA,24779799
Argentina,1977,NA,26983828
Argentina,1982,NA,29341374
Argentina,1987,NA,31620918
Argentina,1992,NA,33958947
Argentina,1997,NA,36203463
Argentina,2002,NA,38331121
Argentina,2007,NA,40301927
Australia,1952,NA,8691212
Australia,1957,NA,9712569
Australia,1962,NA,10794968
Australia,1967,NA,11872264
Australia,1972,NA,13177000
Australia,1977,NA,14074100
Australia,1982,NA,15184200
Australia,1987,NA,16257249
Australia,1992,NA,17481977
Australia,1997,NA,18565243
Australia,2002,NA,19546792
Australia,2007,NA,20434176
Austria,1952,NA,6927772
Austria,1957,NA,6965860
Austria,1962,NA,7129864
Austria,1967,NA,7376998
Austria,1972,NA,7544201
Austria,1977,NA,7568430
Austria,1982,NA,7574613
Austria,1987,NA,7578903
Austria,1992,NA,7914969
Austria,1997,NA,8069876
Austria,2002,NA,8148312
Austria,2007,NA,8199783
Bahrain,1952,NA,120447
Bahrain,1957,NA,138655
Bahrain,1962,NA,171863
Bahrain,1967,NA,202182
Bahrain,1972,NA,230800
Bahrain,1977,NA,297410
Bahrain,1982,NA,377967
Bahrain,1987,NA,454612
Bahrain,1992,NA,529491
Bahrain,1997,NA,598561
Bahrain,2002,NA,656397
Bahrain,2007,NA,708573
Bangladesh,1952,NA,46886859
Bangladesh,1957,NA,51365468
Bangladesh,1962,NA,56839289
Bangladesh,1967,NA,62821884
Bangladesh,1972,NA,70759295
Bangladesh,1977,NA,80428306
Bangladesh,1982,NA,93074406
Bangladesh,1987,NA,103764241
Bangladesh,1992,NA,113704579
Bangladesh,1997,NA,123315288
Bangladesh,2002,NA,135656790
Bangladesh,2007,NA,150448339
Belgium,1952,NA,8730405
Belgium,1957,NA,8989111
Belgium,1962,NA,9218400
Belgium,1967,NA,9556500
Belgium,1972,NA,9709100
Belgium,1977,NA,9821800
Belgium,1982,NA,9856303
Belgium,1987,NA,9870200
Belgium,1992,NA,10045622
Belgium,1997,NA,10199787
Belgium,2002,NA,10311970
Belgium,2007,NA,10392226
Benin,1952,NA,1738315
Benin,1957,NA,1925173
Benin,1962,NA,2151895
Benin,1967,NA,2427334
Benin,1972,NA,2761407
Benin,1977,NA,3168267
Benin,1982,NA,3641603
Benin,1987,NA,4243788
Benin,1992,NA,4981671
Benin,1997,NA,6066080
Benin,2002,NA,7026113
Benin,2007,NA,8078314
Bolivia,1952,NA,2883315
Bolivia,1957,NA,3211738
Bolivia,1962,NA,3593918
Bolivia,1967,NA,4040665
Bolivia,1972,NA,4565872
Bolivia,1977,NA,5079716
Bolivia,1982,NA,5642224
Bolivia,1987,NA,6156369
Bolivia,1992,NA,6893451
