año,De 0 a 14 años,De 15 a 24 años,De 25 a 49 años,De 50 a 59 años,De 60 años y más
1990,2,9,19,1,1
1991,3,13,31,-,-
1992,4,26,57,7,2
1993,15,32,51,5,2
1994,14,44,84,4,4
1995,16,49,143,16,3
1996,22,69,176,16,3
1997,19,60,175,15,5
1998,18,95,207,6,4
1999,17,78,205,20,2
2000,20,50,208,16,6
2001,18,53,245,10,8
2002,26,36,237,21,9
2003,20,65,331,25,6
2004,16,64,368,39,20
2005,29,84,454,58,9
2006,21,78,320,40,17
2007,31,72,305,34,12
2008,44,61,344,36,15
2009,13,65,260,27,11
2010,11,64,234,33,7
2011,25,63,251,27,14
2012,5,58,214,30,14
2013,6,57,215,38,11
2014,9,56,198,34,16
2015,17,51,215,36,23
2016,9,49,222,32,17
2017,9,47,168,28,10
2018,5,54,158,31,17
